circuitId;circuitRef;name;location;country;lat;lng;alt;url
1;albert_park;Albert Park Grand Prix Circuit;Melbourne;Australia;-378497;144968;10;http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2;sepang;Sepang International Circuit;Kuala Lumpur;Malaysia;276083;101738;18;http://en.wikipedia.org/wiki/Sepang_International_Circuit
3;bahrain;Bahrain International Circuit;Sakhir;Bahrain;260325;505106;7;http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4;catalunya;Circuit de Barcelona-Catalunya;Montmeló;Spain;41.57;226111;109;http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5;istanbul;Istanbul Park;Istanbul;Turkey;409517;29405;130;http://en.wikipedia.org/wiki/Istanbul_Park
6;monaco;Circuit de Monaco;Monte-Carlo;Monaco;437347;742056;7;http://en.wikipedia.org/wiki/Circuit_de_Monaco
7;villeneuve;Circuit Gilles Villeneuve;Montreal;Canada;45.5;-735228;13;http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8;magny_cours;Circuit de Nevers Magny-Cours;Magny Cours;France;468642;316361;228;http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9;silverstone;Silverstone Circuit;Silverstone;UK;520786;-101694;153;http://en.wikipedia.org/wiki/Silverstone_Circuit
10;hockenheimring;Hockenheimring;Hockenheim;Germany;493278;856583;103;http://en.wikipedia.org/wiki/Hockenheimring
11;hungaroring;Hungaroring;Budapest;Hungary;475789;192486;264;http://en.wikipedia.org/wiki/Hungaroring
12;valencia;Valencia Street Circuit;Valencia;Spain;394589;-0.331667;4;http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13;spa;Circuit de Spa-Francorchamps;Spa;Belgium;504372;597139;401;http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14;monza;Autodromo Nazionale di Monza;Monza;Italy;456156;928111;162;http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15;marina_bay;Marina Bay Street Circuit;Marina Bay;Singapore;12914;103864;18;http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16;fuji;Fuji Speedway;Oyama;Japan;353717;138927;583;http://en.wikipedia.org/wiki/Fuji_Speedway
17;shanghai;Shanghai International Circuit;Shanghai;China;313389;121.22;5;http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18;interlagos;Autódromo José Carlos Pace;São Paulo;Brazil;-237036;-466997;785;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19;indianapolis;Indianapolis Motor Speedway;Indianapolis;USA;39795;-862347;223;http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20;nurburgring;Nürburgring;Nürburg;Germany;503356;69475;578;http://en.wikipedia.org/wiki/N%C3%BCrburgring
21;imola;Autodromo Enzo e Dino Ferrari;Imola;Italy;443439;117167;37;http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22;suzuka;Suzuka Circuit;Suzuka;Japan;348431;136541;45;http://en.wikipedia.org/wiki/Suzuka_Circuit
23;osterreichring;A1-Ring;Spielburg;Austria;472197;147647;678;http://en.wikipedia.org/wiki/A1-Ring
24;yas_marina;Yas Marina Circuit;Abu Dhabi;UAE;244672;546031;3;http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25;galvez;Autódromo Juan y Oscar Gálvez;Buenos Aires;Argentina;-346943;-584593;8;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
